data,bairro,confirmadosPorDia,confirmadosAcumulados,mortesPorDia,mortesAcumuladas,atualizado
2020-07-01,Centro,0,13,0,0,true
2020-07-01,Olaria,0,2,0,0,true
2020-07-01,Vermelhao,0,2,0,0,true
2020-07-01,Buritizinho,0,1,0,0,true
2020-07-01,Sincerino,0,3,0,0,true
2020-07-01,Vila Nova,0,1,0,0,true
2020-07-01,Nova Corrente,0,6,0,0,true
2020-07-01,Jacolandia,0,1,0,0,true
2020-07-01,Primavera,0,1,0,0,true
2020-07-01,Morro do Pequi,0,4,1,1,true
2020-07-01,Aeroporto,0,6,0,0,true
2020-07-01,Santa Marta,0,2,0,0,true
2020-07-01,Barreirao,0,2,0,0,true




