data,confirmadosPorDia,confirmadosAcumulados,mortesPorDia,mortesAcumuladas,descartadosAcumulados,suspeitosInternados,suspeitosMonitorados,recuperadosAcumulados,atualizado
2020-07-01,0,42,1,1,680,0,32,30,false
2020-07-04,2,44,0,1,702,0,32,31,false
2020-07-08,4,48,0,1,954,0,41,37,false
2020-07-10,7,55,0,1,1056,2,9,40,false
2020-07-13,1,56,0,1,1189,2,3,42,false
2020-07-14,0,56,0,1,1290,2,3,47,false
2020-07-15,0,56,0,1,1302,2,1,49,false
2020-07-17,0,61,0,1,1407,2,11,52,false
2020-07-20,0,66,0,1,1507,2,30,53,false
2020-07-21,0,70,0,1,1720,3,11,54,false
2020-07-22,0,73,0,1,1800,2,6,58,false
2020-07-23,0,74,0,1,1897,2,27,59,false
2020-07-24,0,75,0,1,1950,2,15,59,false
2020-07-25,0,77,0,1,1990,3,30,60,false
2020-07-27,0,84,0,1,2060,2,42,64,false
2020-07-28,0,89,0,2,2122,2,56,64,false
2020-07-29,0,92,0,2,2170,2,50,64,false
2020-07-30,0,100,0,2,2210,2,24,64,false
2020-08-03,0,104,0,2,2250,4,19,66,false
2020-08-04,0,107,0,2,2270,4,10,68,false
2020-08-05,0,115,0,2,2310,3,26,71,false
2020-08-06,0,116,0,2,2390,2,24,74,false
2020-08-10,0,121,0,2,2520,0,13,80,false
2020-08-15,0,132,0,2,2639,0,09,91,false
2020-08-16,0,139,0,2,2652,1,22,94,false
2020-08-18,0,146,0,2,2750,3,39,107,false
2020-08-19,0,148,0,2,2820,3,37,111,false
2020-08-20,0,152,0,2,2900,4,29,121,false
2020-08-21,0,155,0,2,2950,4,27,126,false
2020-08-23,0,157,0,2,2970,4,20,126,false
2020-08-24,0,159,0,2,3030,3,10,128,false
2020-08-25,0,170,0,2,3080,2,19,130,false
2020-08-26,0,184,0,2,3120,2,37,130,false
2020-08-27,0,195,0,2,3220,2,46,133,false
2020-08-30,0,214,0,2,3550,2,63,144,false
2020-09-01,0,244,0,2,3720,2,55,157,false
2020-09-02,0,245,0,2,3800,4,52,157,false
2020-09-05,0,264,0,3,3980,1,63,208,fase
2020-09-10,0,299,0,3,4250,0,72,224,false
2020-09-12,0,316,0,3,4320,0,103,253,false
2020-09-16,0,341,0,3,4470,1,72,295,false
2020-09-17,0,348,0,3,4500,0,72,296,false
2020-09-19,0,363,0,3,4596,0,37,298,false
2020-09-21,0,371,0,3,4630,0,61,302,false
2020-09-24,0,388,0,4,4731,1,95,333,false
2020-09-29,0,420,0,5,4917,2,32,355,true
